artistName,trackName,msPlayed,inLibrary
21 Savage,Ocean Drive,3440,0.0
21 Savage,Ocean Drive,4969,0.0
21 Savage,Ocean Drive,6013,0.0
21 Savage,Ocean Drive,24044,0.0
21 Savage,One Foot,703,0.0
21 Savage,One Foot,835,0.0
21 Savage,One Foot,2154,0.0
21 Savage,One Foot,2197,0.0
21 Savage,One Foot,81943,0.0
21 Savage,One Foot,193392,0.0
21 Savage,X (feat. Future),870,0.0
21 Savage,X (feat. Future),1066,0.0
21 Savage,X (feat. Future),1258,0.0
21 Savage,X (feat. Future),2229,0.0
21 Savage,X (feat. Future),3948,0.0
21 Savage,X (feat. Future),31509,0.0
21 Savage,a lot,2232,0.0
21 Savage,a lot,3754,0.0
21 Savage,a lot,3813,0.0
21 Savage,a lot,8335,0.0
21 Savage,a lot,8730,0.0
21 Savage,a lot,13328,0.0
21 Savage,a lot,54570,0.0
21 Savage,a lot,76277,0.0
21 Savage,a lot,83008,0.0
21 Savage,a lot,98987,0.0
21 Savage,a lot,104456,0.0
21 Savage,a lot,119022,0.0
21 Savage,a lot,128708,0.0
21 Savage,a lot,207226,0.0
21 Savage,a lot,229333,0.0
21 Savage,a lot,255512,0.0
21 Savage,a lot,288624,0.0
21 Savage,a lot,573658,0.0
21 Savage,a&t,6303,0.0
21 Savage,a&t,35317,0.0
21 Savage,all my friends,0,0.0
21 Savage,asmr,8115,0.0
21 Savage,break da law,7508,0.0
21 Savage,break da law,32783,0.0
21 Savage,break da law,85472,0.0
21 Savage,gun smoke,1513,0.0
21 Savage,letter 2 my momma,368,0.0
21 Savage,letter 2 my momma,15436,0.0
21 Savage,monster,1210,0.0
21 Savage,monster,1470,0.0
21 Savage,monster,1850,0.0
21 Savage,monster,4138,0.0
21 Savage,monster,4266,0.0
21 Savage,monster,6208,0.0
21 Savage,monster,6850,0.0
21 Savage,monster,11737,0.0
21 Savage,monster,29504,0.0
21 Savage,monster,49251,0.0
21 Savage,monster,51525,0.0
21 Savage,monster,58370,0.0
21 Savage,monster,71563,0.0
21 Savage,monster,94644,0.0
21 Savage,monster,110170,0.0
21 Savage,monster,110201,0.0
21 Savage,monster,113940,0.0
21 Savage,monster,118131,0.0
21 Savage,monster,131494,0.0
21 Savage,monster,142698,0.0
21 Savage,monster,148143,0.0
21 Savage,monster,151490,0.0
21 Savage,monster,157663,0.0
21 Savage,monster,158165,0.0
21 Savage,monster,170965,0.0
21 Savage,monster,189056,0.0
21 Savage,monster,197044,0.0
21 Savage,monster,233039,0.0
21 Savage,monster,234969,0.0
21 Savage,monster,339029,0.0
21 Savage,monster,576682,0.0
21 Savage,out for the night,5619,0.0
21 Savage,out for the night,137232,0.0
21 Savage,out for the night - part 2,162,0.0
21 Savage,out for the night - part 2,640,0.0
21 Savage,out for the night - part 2,719,0.0
21 Savage,out for the night - part 2,874,0.0
21 Savage,out for the night - part 2,1088,0.0
21 Savage,out for the night - part 2,1130,0.0
21 Savage,out for the night - part 2,1834,0.0
21 Savage,out for the night - part 2,5802,0.0
21 Savage,out for the night - part 2,9344,0.0
21 Savage,out for the night - part 2,32263,0.0
21 Savage,out for the night - part 2,68823,0.0
21 Savage,out for the night - part 2,101540,0.0
21 Savage,out for the night - part 2,103941,0.0
21 Savage,out for the night - part 2,111861,0.0
21 Savage,out for the night - part 2,114560,0.0
21 Savage,out for the night - part 2,129988,0.0
21 Savage,out for the night - part 2,182676,0.0
21 Savage,out for the night - part 2,188586,0.0
21 Savage,out for the night - part 2,194575,0.0
21 Savage,out for the night - part 2,206135,0.0
21 Savage,out for the night - part 2,222661,0.0
21 Savage,out for the night - part 2,229215,0.0
21 Savage,out for the night - part 2,235232,0.0
21 Savage,out for the night - part 2,408365,0.0
3 Doors Down,Here Without You,4121,0.0
